plantId,commonName,botanicalName,category,poolScore,poolLevel,slopeScore,slopeLevel,flowerBedScore,hedgeScore,grassScore,messiness,evergreenPresence,beeDraw,petKidCaution,colorType,welGardens,allStar,notes,roleReasons
267,Baby's Tears,Soleirolia soleirolii,PERENNIALS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,,,,"low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | existing pool-safe design score"
277,Blue Fescue,Festuca glauca,PERENNIALS,100,excellent,100,excellent,20,20,90,low,evergreen/everpresent,low,normal,foliage color,,,,"waterwise enough for Sacramento-area pool planter | low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | grass/strappy texture works near pools | existing pool-safe design score"
280,Blue Oat Grass,Helictotrichon sempervirens,PERENNIALS,100,excellent,96,excellent,34,20,90,low,seasonal/deciduous,low,normal,foliage color,Perennial garden,,Matched local Sacramento County UC Master Gardener WEL source.,"waterwise enough for Sacramento-area pool planter | low-mess behavior | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | grass/strappy texture works near pools | existing pool-safe design score"
371,Fescue 'Buddy Blue',Festuca glauca 'Buddy Blue',PERENNIALS,100,excellent,72,good,20,20,90,low,seasonal/deciduous,low,normal,foliage color,,,,"low-mess behavior | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | grass/strappy texture works near pools | existing pool-safe design score"
372,Fescue 'Elijah Blue',Festuca glauca 'Elijah Blue',PERENNIALS,100,excellent,72,good,20,20,90,low,seasonal/deciduous,low,normal,foliage color,,,,"low-mess behavior | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | grass/strappy texture works near pools | existing pool-safe design score"
395,Green Carpet,Herniaria glabra,PERENNIALS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,mostly green/texture,,,,low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | existing pool-safe design score
408,Japanese Blood Grass,Imperata cylindrica 'Red Baron',PERENNIALS,100,excellent,64,usable,20,20,90,low,seasonal/deciduous,low,normal,foliage color,,,,"waterwise enough for Sacramento-area pool planter | low-mess behavior | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | grass/strappy texture works near pools | existing pool-safe design score"
409,Japanese Forest Grass 'All Gold',Hakonechloa macra 'All Gold',PERENNIALS,100,excellent,40,accent,20,20,90,low,seasonal/deciduous,low,normal,foliage color,,,,"low-mess behavior | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | grass/strappy texture works near pools | existing pool-safe design score"
410,Japanese Forest Grass 'Aureola',Hakonechloa macra 'Aureola',PERENNIALS,100,excellent,40,accent,20,20,90,low,seasonal/deciduous,low,normal,foliage color,,,,"low-mess behavior | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | grass/strappy texture works near pools | existing pool-safe design score"
416,Silver Carpet Lamb's Ear,Stachys byzantina 'Silver Carpet',PERENNIALS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,Popular Plant garden; Wildlife Habitat garden,,Matched local Sacramento County UC Master Gardener WEL source.,"waterwise enough for Sacramento-area pool planter | low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | existing pool-safe design score"
417,Lamb's Ear,Stachys byzantina,PERENNIALS,100,excellent,98,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,Popular Plant garden; Wildlife Habitat garden,,Matched local Sacramento County UC Master Gardener WEL source.,"waterwise enough for Sacramento-area pool planter | low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | existing pool-safe design score"
418,Lamb's Ear 'Helene Von Stein',Stachys byzantina 'Helen Von Stein',PERENNIALS,100,excellent,98,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,Popular Plant garden; Wildlife Habitat garden,,Matched local Sacramento County UC Master Gardener WEL source.,"waterwise enough for Sacramento-area pool planter | low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | existing pool-safe design score"
668,Acacia,Acacia cognata 'Cousin Itt',SHRUBS,100,excellent,56,usable,20,20,20,low,evergreen/everpresent,low,normal,mostly green/texture,Welcome garden,,Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for Sacramento-area pool planter | low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | existing pool-safe design score
706,Beach Ball™ Black Stem Pittosporum,Pittosporum tenuifolium 'Beach Ball',SHRUBS,100,excellent,20,poor,20,84,20,low,evergreen/everpresent,low,normal,foliage color,,,,"low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | existing pool-safe design score"
712,Black Stem Pittosporum 'Elfin',Pittosporum tenuifolium 'Elfin',SHRUBS,100,excellent,20,poor,20,84,20,low,evergreen/everpresent,low,normal,foliage color,,,,"low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | existing pool-safe design score"
713,Black Stem Pittosporum 'Golf Ball' | Monrovia,Pittosporum tenuifolium 'Golf Ball',SHRUBS,100,excellent,20,poor,20,84,20,low,evergreen/everpresent,low,normal,foliage color,,,,"low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | existing pool-safe design score"
714,Irish Fortune&#8482; Black Stem Pittosporum,Pittosporum tenuifolium 'Irish Fortune',SHRUBS,100,excellent,0,poor,20,84,20,low,evergreen/everpresent,low,normal,foliage color,,,,"low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | color comes from foliage, not just flower drop | too large for typical narrow pool planter | existing pool-safe design score"
731,Boxwood 'Green Mountain' Cone Topiary,Buxus x 'Green Mountain',SHRUBS,100,excellent,20,poor,20,84,20,low,evergreen/everpresent,low,normal,mostly green/texture,,,,low-mess behavior | evergreen/everpresent foliage | clean foliage / grass-like / evergreen structure | existing pool-safe design score
