plantId,commonName,botanicalName,category,poolScore,poolLevel,slopeScore,slopeLevel,flowerBedScore,hedgeScore,grassScore,messiness,evergreenPresence,beeDraw,petKidCaution,colorType,welGardens,allStar,notes,roleReasons
251,Ajuga,Ajuga reptans 'Catlin's Giant',PERENNIALS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
267,Baby's Tears,Soleirolia soleirolii,PERENNIALS,100,excellent,100,excellent,20,20,20,low,evergreen/everpresent,low,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
268,Bacopa,Sutera cordata,PERENNIALS,34,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
269,Begonia rex,Begonia rex,PERENNIALS,72,good,100,excellent,20,20,20,low,seasonal/deciduous,low,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
277,Blue Fescue,Festuca glauca,PERENNIALS,100,excellent,100,excellent,20,20,90,low,evergreen/everpresent,low,normal,foliage color,,,,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | grasses/sedges help mixed slope plantings | existing slope design score
278,Blue Lithodora,Lithodora diffusa,PERENNIALS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | wider-than-tall form helps cover slope | existing slope design score
282,Blue Star Creeper,Isotoma fluviatilis 'Blue Star',PERENNIALS,62,usable,100,excellent,62,20,20,low,evergreen/everpresent,medium,normal,foliage color,,,,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
286,Ajuga 'Bronze',Ajuga reptans 'Bronze',PERENNIALS,62,usable,100,excellent,62,20,20,medium,evergreen/everpresent,medium-high,normal,foliage color,,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools.,groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
289,Cadet&#8482; Verbena,Cadet&#8482; Verbena Series,PERENNIALS,14,poor,100,excellent,62,20,20,medium,seasonal/deciduous,medium-high,normal,foliage color,Popular Plant garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,waterwise enough for dry slope | groundcover/trailing/spreading behavior | slope-appropriate shrub/erosion-control plant type | existing slope design score
295,California Red Buckwheat,Eriogonum grande rubescens,PERENNIALS,14,poor,100,excellent,62,20,20,medium,semi-evergreen/uncertain,medium-high,normal,foliage color,Wildlife Habitat garden,,Bee/pollinator draw is useful for habitat/flower beds but down-ranked near pools. | Matched local Sacramento County UC Master Gardener WEL source.,WEL native/wildlife/streetscape match; useful low-water slope source signal | waterwise enough for dry slope | slope-appropriate shrub/erosion-control plant type | existing slope design score
